stratum,corpus,policy,max_length,oracle_units,trained_units,unsupported_units,conditional_prevalence,ci_low,ci_high,affected_conversations,total_conversations,conversation_incidence,unsupported_target_tokens,unsupported_target_token_occurrences,effective_supervised_tokens,nominal_supervised_tokens,processed_objective_exposure,nominal_objective_exposure,target_retention,supervised_token_retention,row_supervision_retention,unique_token_coverage,unique_supervision_coverage,generated_examples
length_ge_10,glaive,wrapped_single_batch,8192,3435,3433,32,0.00932129332944946,0.006131252714868536,0.012647492201167992,32,5000,0.0064,717,717,609845,609926,0.0011757085816887897,0.001175552444066985,0.9994177583697235,0.9998671970042268,1.0,1.0,0.9998671970042268,245
length_ge_20,glaive,bfd_split,256,1966,1905,865,0.4540682414698163,0.43110624111812074,0.4758668746601104,767,5000,0.1534,19973,19973,607843,609926,0.032858813871345066,0.03274659548863305,0.9689725330620549,0.9965848316025223,1.0,1.0,0.9965848316025223,7863
length_ge_20,glaive,bfd_split,512,1966,1948,199,0.10215605749486653,0.08875973464509336,0.11468795571483832,198,5000,0.0396,4817,4817,609487,609926,0.007903367914327952,0.0078976793906146,0.9908443540183113,0.9992802405537721,1.0,1.0,0.9992802405537721,4483
length_ge_20,glaive,bfd_split,1024,1966,1966,1,0.000508646998982706,0.0,0.001540041067761807,1,5000,0.0002,60,60,609925,609926,9.837275074804279e-05,9.83725894616724e-05,1.0,0.9999983604568423,1.0,1.0,0.9999983604568423,2014
length_ge_20,glaive,bfd_split,2048,1966,1966,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,998
length_ge_20,glaive,bfd_split,4096,1966,1966,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,494
length_ge_20,glaive,bfd_split,8192,1966,1966,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,248
length_ge_20,glaive,wrapped_single_batch,256,1966,1890,666,0.3523809523809524,0.32929286386758233,0.37448424637429784,589,5000,0.1178,15810,15810,607572,609926,0.026021607315676168,0.025921177323150676,0.9613428280773143,0.996140515406787,1.0,1.0,0.996140515406787,7834
length_ge_20,glaive,wrapped_single_batch,512,1966,1929,346,0.1793675479523069,0.16367367880964598,0.1956417343223326,346,5000,0.0692,7843,7843,608755,609926,0.012883672413368267,0.012858936985798278,0.9811800610376399,0.9980800949623397,1.0,1.0,0.9980800949623397,3917
length_ge_20,glaive,wrapped_single_batch,1024,1966,1948,164,0.08418891170431211,0.07244174265450862,0.0964793759946745,164,5000,0.0328,3644,3644,609354,609926,0.005980103519464876,0.0059744952666389035,0.9908443540183113,0.9990621813137988,1.0,1.0,0.9990621813137988,1959
length_ge_20,glaive,wrapped_single_batch,2048,1966,1956,77,0.03936605316973415,0.031121655848883895,0.04840370751802266,77,5000,0.0154,1806,1806,609654,609926,0.0029623360135421074,0.0029610149427963394,0.9949135300101729,0.999554044261107,1.0,1.0,0.999554044261107,980
length_ge_20,glaive,wrapped_single_batch,4096,1966,1962,40,0.020387359836901122,0.014263518864904033,0.027278669301822586,40,5000,0.008,1090,1090,609779,609926,0.0017875328602657684,0.0017871020418870486,0.9979654120040692,0.9997589871558189,1.0,1.0,0.9997589871558189,490
length_ge_20,glaive,wrapped_single_batch,8192,1966,1964,22,0.01120162932790224,0.006608965357256522,0.0159387134886687,22,5000,0.0044,605,605,609845,609926,0.0009920553583287557,0.0009919236104051967,0.9989827060020345,0.9998671970042268,1.0,1.0,0.9998671970042268,245
opaque_identifier,glaive,bfd_split,256,406,400,112,0.28,0.23333333333333334,0.32679819159668017,97,5000,0.0194,1723,1723,607843,609926,0.0028346135432998324,0.0028249328607076922,0.9852216748768473,0.9965848316025223,1.0,1.0,0.9965848316025223,7863
opaque_identifier,glaive,bfd_split,512,406,404,49,0.12128712871287128,0.09113300492610837,0.15309091755071652,48,5000,0.0096,658,658,609487,609926,0.0010795964475042127,0.0010788193977630074,0.9950738916256158,0.9992802405537721,1.0,1.0,0.9992802405537721,4483
opaque_identifier,glaive,bfd_split,1024,406,406,1,0.0024630541871921183,0.0,0.007518796992481203,1,5000,0.0002,38,38,609925,609926,6.23027421404271e-05,6.230263999239252e-05,1.0,0.9999983604568423,1.0,1.0,0.9999983604568423,2014
opaque_identifier,glaive,bfd_split,2048,406,406,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,998
opaque_identifier,glaive,bfd_split,4096,406,406,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,494
opaque_identifier,glaive,bfd_split,8192,406,406,0,0.0,0.0,0.0,0,5000,0.0,0,0,609926,609926,0.0,0.0,1.0,1.0,1.0,1.0,1.0,248
opaque_identifier,glaive,wrapped_single_batch,256,406,394,111,0.2817258883248731,0.2351421188630491,0.32997606115343986,99,5000,0.0198,1751,1751,607572,609926,0.002881962960768436,0.0028708400691231394,0.9704433497536946,0.996140515406787,1.0,1.0,0.996140515406787,7834
opaque_identifier,glaive,wrapped_single_batch,512,406,399,51,0.12781954887218044,0.09742966751918158,0.1600100250626566,51,5000,0.0102,653,653,608755,609926,0.0010726811278757465,0.0010706216819745347,0.9827586206896551,0.9980800949623397,1.0,1.0,0.9980800949623397,3917
opaque_identifier,glaive,wrapped_single_batch,1024,406,403,25,0.062034739454094295,0.0399002493765586,0.08663903766307149,25,5000,0.005,240,240,609354,609926,0.00039385972685827944,0.0003934903578466896,0.9926108374384236,0.9990621813137988,1.0,1.0,0.9990621813137988,1959
opaque_identifier,glaive,wrapped_single_batch,2048,406,405,8,0.019753086419753086,0.007425742574257425,0.034570040337367054,8,5000,0.0016,71,71,609654,609926,0.00011645949997867643,0.00011640756419631234,0.9975369458128078,0.999554044261107,1.0,1.0,0.999554044261107,980
opaque_identifier,glaive,wrapped_single_batch,4096,406,405,4,0.009876543209876543,0.0024390243902439024,0.02028770082765317,4,5000,0.0008,47,47,609779,609926,7.707710498393681e-05,7.705852841164337e-05,0.9975369458128078,0.9997589871558189,1.0,1.0,0.9997589871558189,490
opaque_identifier,glaive,wrapped_single_batch,8192,406,406,0,0.0,0.0,0.0,0,5000,0.0,0,0,609845,609926,0.0,0.0,1.0,0.9998671970042268,1.0,1.0,0.9998671970042268,245
