stratum,corpus,policy,max_length,total_conversations_primary,trained_units_primary,unsupported_units_primary,conditional_prevalence_primary,affected_conversations_primary,conversation_incidence_primary,nominal_objective_exposure_primary,processed_objective_exposure_primary,supervised_token_retention_primary,total_conversations_strict,trained_units_strict,unsupported_units_strict,conditional_prevalence_strict,affected_conversations_strict,conversation_incidence_strict,nominal_objective_exposure_strict,processed_objective_exposure_strict,supervised_token_retention_strict,delta_conditional_percentage_points,delta_nominal_objective_percentage_points
length_ge_10,retool,wrapped_single_batch,2048,2000,33,2,0.0606060606060606,2,0.001,5.917112496438638e-06,5.91998664451013e-06,0.9995145009196672,2000,14,1,0.0714285714285714,1,0.0005,2.958556248219319e-06,2.959993322255065e-06,0.9995145009196672,1.0822510822510796,-0.0002958556248219319
length_ge_10,retool,wrapped_single_batch,4096,2000,33,1,0.0303030303030303,1,0.0005,2.958556248219319e-06,2.9592811787645534e-06,0.9997550315426474,2000,14,1,0.0714285714285714,1,0.0005,2.958556248219319e-06,2.9592811787645534e-06,0.9997550315426474,4.112554112554109,0.0
length_ge_10,retool,wrapped_single_batch,8192,2000,33,1,0.0303030303030303,1,0.0005,2.958556248219319e-06,2.958910789431481e-06,0.9998801784719472,2000,14,1,0.0714285714285714,1,0.0005,2.958556248219319e-06,2.958910789431481e-06,0.9998801784719472,4.112554112554109,0.0
length_ge_10,toolace,bfd_split,256,11300,633,411,0.6492890995260664,337,0.0298230088495575,0.0200821235443265,0.0201601009131308,0.9961320943213376,11300,621,403,0.6489533011272142,332,0.0293805309734513,0.0198427835244313,0.0199198315540171,0.9961320943213376,-0.03357983988522273,-0.023934001989520115
length_ge_10,toolace,bfd_split,512,11300,644,261,0.4052795031055901,226,0.02,0.0139383507121968,0.013966988869236,0.9979495825974162,11300,631,254,0.4025356576862123,222,0.019646017699115,0.0138197491844809,0.0138481436592333,0.9979495825974162,-0.2743845419377777,-0.011860152771589992
length_ge_10,toolace,bfd_split,1024,11300,646,181,0.2801857585139319,169,0.0149557522123893,0.0100854037847777,0.0100934059764854,0.9992071861840972,11300,633,178,0.2812006319115324,166,0.0146902654867256,0.0099903088661587,0.0099982356054813,0.9992071861840972,0.10148733976004798,-0.0095094918618999
length_ge_10,toolace,bfd_split,2048,11300,650,33,0.0507692307692307,31,0.0027433628318584,0.0025664943204826,0.0025666835499306,0.9999262747260144,11300,637,33,0.0518053375196232,31,0.0027433628318584,0.0025643573560193,0.0025645464279073,0.9999262747260144,0.10361067503925,-0.00021369644632998272
length_ge_10,toolace,bfd_split,4096,11300,650,2,0.003076923076923,2,0.0001769911504424,5.556107604708588e-05,5.556125414572435e-05,0.9999967945533048,11300,637,2,0.0031397174254317,2,0.0001769911504424,5.556107604708588e-05,5.556125414572435e-05,0.9999967945533048,0.0062794348508699895,0.0
length_ge_10,toolace,bfd_split,8192,11300,650,0,0.0,0,0.0,0.0,0.0,1.0,11300,637,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0
length_ge_10,toolace,wrapped_single_batch,256,11300,642,417,0.6495327102803738,350,0.0309734513274336,0.0204261748229257,0.0205066979035261,0.9960733277985954,11300,629,409,0.6502384737678856,344,0.0304424778761061,0.0201280682802885,0.0202074161796634,0.9960733277985954,0.07057634875117236,-0.02981065426372019
length_ge_10,toolace,wrapped_single_batch,512,11300,646,272,0.4210526315789473,247,0.021858407079646,0.014407414411902,0.0144357798361575,0.9980350611759502,11300,633,267,0.4218009478672986,243,0.021504424778761,0.0142877444019544,0.0143158742190076,0.9980350611759502,0.07483162883513139,-0.011967000994760058
length_ge_10,toolace,wrapped_single_batch,1024,11300,648,161,0.2484567901234567,152,0.0134513274336283,0.0088171153757798,0.0088256590099903,0.9990319550981028,11300,635,158,0.2488188976377952,150,0.0132743362831858,0.0087583488530377,0.0087668355434913,0.9990319550981028,0.03621075143384889,-0.005876652274209963
length_ge_10,toolace,wrapped_single_batch,2048,11300,648,80,0.1234567901234567,80,0.0070796460176991,0.0040634379270589,0.0040654665184298,0.999501018797808,11300,635,81,0.1275590551181102,81,0.0071681415929203,0.0040463422113521,0.0040483622680236,0.999501018797808,0.4102264994653493,-0.0017095715706799339
